Gene,B-A_FC,B-A_logFC,B-A_tstat,B-A_pval,B-A_adjpval,C-A_FC,C-A_logFC,C-A_tstat,C-A_pval,C-A_adjpval,B-C_FC,B-C_logFC,B-C_tstat,B-C_pval,B-C_adjpval
Golga3,3.01,1.59,3.16,0.00889,0.156,3.41,1.77,3.52,0.00472,0.0491,-1.13,-0.182,-0.463,0.652,0.83
Golph3l,-2.3,-1.2,-3.16,0.00893,0.157,1.28,0.357,1.08,0.302,0.542,-2.94,-1.56,-4.13,0.00163,0.0398
Gpr171,-1.44,-0.528,-2.61,0.0242,0.258,-3.99,-2.0,-7.59,9.99E-6,0.00103,2.77,1.47,5.42,2.0E-4,0.0112
Gpr56,-1.15,-0.2,-0.81,0.435,0.785,-25.9,-4.69,-8.18,4.88E-6,5.91E-4,22.5,4.49,7.57,1.02E-5,0.00137
Gpr65,1.16,0.215,0.513,0.618,0.877,5.53,2.47,6.52,4.05E-5,0.0026,-4.77,-2.25,-6.54,3.96E-5,0.00368
Gpr97,-1.87,-0.9,-5.22,2.75E-4,0.0228,-10.4,-3.37,-12.1,9.63E-8,7.79E-5,5.56,2.47,8.5,3.36E-6,7.27E-4
Gpx1,-1.17,-0.224,-1.21,0.25,0.656,-2.91,-1.54,-6.78,2.85E-5,0.0022,2.49,1.32,5.73,1.26E-4,0.00797
Gramd1b,8.07,3.01,2.36,0.0378,0.313,22.1,4.47,3.55,0.0045,0.0481,-2.74,-1.45,-3.01,0.0117,0.114
Grb2,2.93,1.55,7.83,7.4E-6,0.00217,1.32,0.402,1.83,0.0937,0.281,2.22,1.15,5.87,1.02E-4,0.00726
Grn,1.67,0.739,3.09,0.0102,0.167,-2.37,-1.24,-4.01,0.002,0.0298,3.95,1.98,6.56,3.86E-5,0.00365
Gtpbp4,1.39,0.475,1.75,0.107,0.473,-1.97,-0.976,-2.95,0.013,0.0872,2.73,1.45,4.47,9.24E-4,0.0287
Gyg,2.92,1.55,5.06,3.5E-4,0.0275,2.0,0.999,3.1,0.00997,0.0749,1.46,0.547,1.99,0.0713,0.285
H1f0,1.45,0.531,1.51,0.159,0.553,2.45,1.29,3.75,0.00313,0.0386,-1.7,-0.762,-2.48,0.0305,0.189
H2-Aa,28.6,4.84,2.83,0.0161,0.212,62.9,5.98,3.52,0.00469,0.049,-2.2,-1.14,-3.53,0.00465,0.0711
H2-DMa,-1.74,-0.798,-3.33,0.00662,0.136,-6.12,-2.61,-7.75,8.18E-6,8.9E-4,3.52,1.81,5.17,2.96E-4,0.0143
H2-Ob,-2.06,-1.04,-4.42,0.001,0.0509,-4.35,-2.12,-7.17,1.71E-5,0.00159,2.11,1.08,3.45,0.00535,0.0762
H2afy,-1.69,-0.758,-8.19,4.79E-6,0.00174,-6.03,-2.59,-20.4,3.47E-10,2.64E-6,3.57,1.84,13.9,2.16E-8,8.22E-5
Haao,-1.27,-0.346,-1.0,0.337,0.723,-3.32,-1.73,-3.66,0.00369,0.0427,2.62,1.39,2.85,0.0156,0.133
